"split","video_name","source_video","source_label","target_video","target_label"
"train","drone__M1101","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M1101\M1101.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M1101-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M1101.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M1101.json"
"train","drone__M1201","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M1201\M1201.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M1201-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M1201.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M1201.json"
"train","drone__M1301","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M1301\M1301.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M1301-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M1301.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M1301.json"
"train","drone__M1302","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M1302\M1302.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M1302-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M1302.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M1302.json"
"train","drone__M1304","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M1304\M1304.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M1304-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M1304.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M1304.json"
"train","drone__M1305","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M1305\M1305.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M1305-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M1305.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M1305.json"
"train","drone__uav0000071_03240_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000071_03240_v\uav0000071_03240_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000071_03240_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000071_03240_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000071_03240_v.json"
"high_risk","drone__uav0000140_01590_v","C:\Users\12559\Desktop\yolo\dataset_split\high_risk\drone\uav0000140_01590_v\uav0000140_01590_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000140_01590_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000140_01590_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000140_01590_v.json"
"train","drone__uav0000143_02250_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000143_02250_v\uav0000143_02250_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000143_02250_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000143_02250_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000143_02250_v.json"
"train","drone__uav0000182_00000_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000182_00000_v\uav0000182_00000_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000182_00000_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000182_00000_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000182_00000_v.json"
"train","drone__uav0000239_03720_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000239_03720_v\uav0000239_03720_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000239_03720_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000239_03720_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000239_03720_v.json"
"train","drone__uav0000239_12336_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000239_12336_v\uav0000239_12336_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000239_12336_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000239_12336_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000239_12336_v.json"
"train","drone__uav0000243_00001_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000243_00001_v\uav0000243_00001_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000243_00001_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000243_00001_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000243_00001_v.json"
"train","drone__uav0000244_01440_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000244_01440_v\uav0000244_01440_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000244_01440_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000244_01440_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000244_01440_v.json"
"train","drone__uav0000263_03289_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000263_03289_v\uav0000263_03289_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000263_03289_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000263_03289_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000263_03289_v.json"
"train","drone__uav0000264_02760_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000264_02760_v\uav0000264_02760_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000264_02760_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000264_02760_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000264_02760_v.json"
"train","drone__uav0000278_00001_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000278_00001_v\uav0000278_00001_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000278_00001_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000278_00001_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000278_00001_v.json"
"train","drone__uav0000279_00001_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000279_00001_v\uav0000279_00001_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000279_00001_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000279_00001_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000279_00001_v.json"
"train","drone__uav0000289_00001_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000289_00001_v\uav0000289_00001_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000289_00001_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000289_00001_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000289_00001_v.json"
"train","drone__uav0000295_02300_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000295_02300_v\uav0000295_02300_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000295_02300_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000295_02300_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000295_02300_v.json"
"train","drone__uav0000309_00000_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000309_00000_v\uav0000309_00000_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000309_00000_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000309_00000_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000309_00000_v.json"
"train","drone__uav0000315_00000_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000315_00000_v\uav0000315_00000_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000315_00000_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000315_00000_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000315_00000_v.json"
"train","drone__uav0000342_04692_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000342_04692_v\uav0000342_04692_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000342_04692_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000342_04692_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000342_04692_v.json"
"train","drone__uav0000352_05980_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000352_05980_v\uav0000352_05980_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000352_05980_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000352_05980_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000352_05980_v.json"
"train","drone__uav0000360_00001_v","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\uav0000360_00001_v\uav0000360_00001_v.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__uav0000360_00001_v-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__uav0000360_00001_v.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__uav0000360_00001_v.json"
"eval","static__MVI_20011","C:\Users\12559\Desktop\yolo\dataset_split\eval\static\MVI_20011\MVI_20011.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20011-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20011.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20011.json"
"eval","static__MVI_20012","C:\Users\12559\Desktop\yolo\dataset_split\eval\static\MVI_20012\MVI_20012.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20012-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20012.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20012.json"
"eval","static__MVI_20032","C:\Users\12559\Desktop\yolo\dataset_split\eval\static\MVI_20032\MVI_20032.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20032-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20032.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20032.json"
"train","static__MVI_20033","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_20033\MVI_20033.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20033-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20033.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20033.json"
"eval","static__MVI_20034","C:\Users\12559\Desktop\yolo\dataset_split\eval\static\MVI_20034\MVI_20034.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20034-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20034.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20034.json"
"train","static__MVI_20035","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_20035\MVI_20035.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20035-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20035.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20035.json"
"eval","static__MVI_20051","C:\Users\12559\Desktop\yolo\dataset_split\eval\static\MVI_20051\MVI_20051.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20051-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20051.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20051.json"
"eval","static__MVI_20052","C:\Users\12559\Desktop\yolo\dataset_split\eval\static\MVI_20052\MVI_20052.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20052-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20052.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20052.json"
"train","static__MVI_20061","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_20061\MVI_20061.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20061-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20061.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20061.json"
"train","static__MVI_20062","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_20062\MVI_20062.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20062-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20062.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20062.json"
"train","static__MVI_20063","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_20063\MVI_20063.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20063-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20063.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20063.json"
"train","static__MVI_20064","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_20064\MVI_20064.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20064-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20064.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20064.json"
"eval","static__MVI_20065","C:\Users\12559\Desktop\yolo\dataset_split\eval\static\MVI_20065\MVI_20065.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_20065-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_20065.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_20065.json"
"eval","static__MVI_39031","C:\Users\12559\Desktop\yolo\dataset_split\eval\static\MVI_39031\MVI_39031.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39031-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39031.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39031.json"
"train","static__MVI_39051","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39051\MVI_39051.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39051-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39051.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39051.json"
"train","static__MVI_39211","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39211\MVI_39211.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39211-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39211.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39211.json"
"high_risk","static__MVI_39271","C:\Users\12559\Desktop\yolo\dataset_split\high_risk\static\MVI_39271\MVI_39271.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39271-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39271.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39271.json"
"train","static__MVI_39311","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39311\MVI_39311.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39311-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39311.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39311.json"
"train","static__MVI_39371","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39371\MVI_39371.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39371-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39371.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39371.json"
"train","static__MVI_39401","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39401\MVI_39401.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39401-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39401.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39401.json"
"train","static__MVI_39501","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39501\MVI_39501.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39501-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39501.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39501.json"
"train","static__MVI_39511","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39511\MVI_39511.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39511-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39511.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39511.json"
"train","static__MVI_39761","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39761\MVI_39761.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39761-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39761.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39761.json"
"train","static__MVI_39771","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39771\MVI_39771.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39771-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39771.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39771.json"
"train","static__MVI_39801","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39801\MVI_39801.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39801-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39801.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39801.json"
"train","static__MVI_39811","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39811\MVI_39811.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39811-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39811.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39811.json"
"train","static__MVI_39821","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39821\MVI_39821.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39821-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39821.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39821.json"
"train","static__MVI_39851","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39851\MVI_39851.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39851-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39851.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39851.json"
"train","static__MVI_39861","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39861\MVI_39861.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39861-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39861.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39861.json"
"train","static__MVI_39931","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_39931\MVI_39931.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_39931-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_39931.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_39931.json"
"train","static__MVI_40131","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40131\MVI_40131.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40131-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40131.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40131.json"
"train","static__MVI_40141","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40141\MVI_40141.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40141-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40141.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40141.json"
"train","static__MVI_40152","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40152\MVI_40152.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40152-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40152.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40152.json"
"train","static__MVI_40161","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40161\MVI_40161.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40161-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40161.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40161.json"
"train","static__MVI_40162","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40162\MVI_40162.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40162-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40162.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40162.json"
"train","static__MVI_40171","C:\Users\12559\Desktop\yolo\dataset_split\train\static\MVI_40171\MVI_40171.mp4","C:\Users\12559\Desktop\yolo\json_flat\static__MVI_40171-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\static__MVI_40171.mp4","C:\Users\12559\Desktop\yolo\data\labels\static__MVI_40171.json"
